Pop,Country,X,Y,GHI,WindVel,TravelHours,NightLights,Elevation,Slope,LandCover,GridDistCurrent,GridDistPlan,SubstationDist,RoadDist,HydropowerDist,Hydropower,SolarRestriction
3048.01220703125,Ethiopia,4212.986328125,1650.6239013671875,2409,5.0,3,0,1044.0,5.107914447784424,12,38.26700973510742,38.26700973510742,108.71653747558594,2.6116502285003658,23.460895538330078,1948.1199951171875,0.0
2489.810546875,Ethiopia,4222.986328125,1650.6239013671875,2426,5.0,5,0,1145.0,14.40139389038086,7,35.945220947265625,35.945220947265625,98.82427978515624,0.8979648947715759,13.770488739013672,1948.1199951171875,1.0
2734.06298828125,Ethiopia,4212.986328125,1640.6239013671875,2409,5.0,5,0,1075.0,0.5283387899398804,12,29.04755973815918,29.04755973815918,110.55663299560548,2.62917709350586,23.70372772216797,1948.1199951171875,1.0
7587.93994140625,Ethiopia,4222.986328125,1640.6239013671875,2452,5.0,5,0,1272.0,0.6765915155410767,14,26.01577186584473,26.01577186584473,100.84503936767578,2.880831241607666,14.18025016784668,1948.1199951171875,1.0
2897.05029296875,Ethiopia,4232.986328125,1640.6239013671875,2417,5.0,8,0,1101.0,3.1948621273040767,14,26.46650314331055,26.46650314331055,91.19580841064452,6.321442127227782,6.347615718841553,1948.1199951171875,0.0
5048.8974609375,Ethiopia,4242.986328125,1640.6239013671875,2435,5.0,4,0,1183.0,12.486469268798828,12,28.118417739868164,28.118417739868164,81.63105010986328,1.2859210968017578,5.454508304595947,162.8470001220703,0.0
8473.978515625,Ethiopia,4252.986328125,1640.6239013671875,2426,5.0,3,0,1271.0,14.276872634887695,7,30.55882835388184,30.55882835388184,72.18435668945312,0.2252369374036789,2.475803136825561,359.32598876953125,1.0
3122.844970703125,Ethiopia,4202.986328125,1630.6239013671875,2409,0.0,4,0,1032.0,0.7692484855651855,12,22.296850204467773,22.296850204467773,122.7978057861328,6.580289363861084,36.52543258666992,1948.1199951171875,1.0
2177.606689453125,Ethiopia,4212.986328125,1630.6239013671875,2417,5.0,6,0,1081.0,0.3809957206249237,12,20.099687576293945,20.099687576293945,113.2530517578125,4.8912739753723145,27.808629989624023,1948.1199951171875,1.0
4912.82763671875,Ethiopia,4222.986328125,1630.6239013671875,2479,5.0,4,0,1379.0,8.953068733215332,14,16.173492431640625,16.173492431640625,103.79405975341795,1.3884172439575195,20.31089782714844,1948.1199951171875,1.0
2657.095703125,Ethiopia,4232.986328125,1630.6239013671875,2496,5.0,4,0,1464.0,9.916781425476074,7,16.601579666137695,16.601579666137695,94.44659423828124,2.348851442337036,15.866484642028807,1948.1199951171875,1.0
2470.847900390625,Ethiopia,4242.986328125,1630.6239013671875,2479,5.0,7,0,1491.0,1.061856389045715,7,18.259424209594727,18.259424209594727,85.24736022949219,7.086956024169923,12.188322067260742,162.8470001220703,1.0
5547.35986328125,Ethiopia,4252.986328125,1630.6239013671875,2461,5.0,5,0,1180.0,2.13606858253479,12,21.662351608276367,21.662351608276367,76.25001525878906,4.277064323425293,11.878458976745605,162.8470001220703,1.0
5964.94482421875,Ethiopia,4262.986328125,1630.6239013671875,2452,5.0,4,0,1258.0,15.857014656066895,7,28.24964904785156,28.24964904785156,67.53530883789061,3.565901041030884,11.834763526916506,118.93000030517578,0.0
5668.51904296875,Ethiopia,4342.986328125,1630.6239013671875,2470,0.0,8,0,1458.0,3.0687930583953857,7,51.72578811645508,39.33377075195313,41.67301559448242,8.384225845336914,16.963150024414062,229.13999938964844,1.0
9722.8681640625,Ethiopia,4352.986328125,1630.6239013671875,2514,5.0,6,0,1538.0,1.0406217575073242,7,53.07762145996094,29.65496826171875,47.78695297241211,9.502942085266113,19.229433059692386,117.50700378417969,1.0
6098.55712890625,Ethiopia,4362.986328125,1630.6239013671875,2505,5.0,1,0,1593.0,11.10948371887207,7,46.06342315673828,19.976163864135746,55.0503921508789,0.4852925837039948,24.649492263793945,117.50700378417969,1.0
2851.187255859375,Ethiopia,4402.986328125,1630.6239013671875,2628,0.0,8,0,2172.0,17.819664001464844,12,36.60955047607422,18.739049911499023,89.54528045654297,1.9222112894058228,28.292110443115234,687.0819702148438,1.0
1961.9786376953125,Ethiopia,4412.986328125,1630.6239013671875,2496,5.0,6,0,1768.0,25.234060287475586,10,40.55692672729492,28.4178524017334,91.92813873291016,0.004831012338399887,19.071727752685547,687.0819702148438,1.0
2188.208740234375,Ethiopia,4192.986328125,1620.6239013671875,2417,0.0,4,0,993.0,3.450786590576172,12,19.41085433959961,19.41085433959961,135.40986633300778,4.473974227905273,35.66758346557617,296.4179992675781,0.0
2659.148681640625,Ethiopia,4202.986328125,1620.6239013671875,2426,0.0,8,0,1021.0,1.5881729125976562,12,13.046232223510742,13.046232223510742,126.02691650390624,5.306519031524658,41.77990341186523,1948.1199951171875,0.0
2447.67529296875,Ethiopia,4212.986328125,1620.6239013671875,2417,5.0,5,0,1064.0,0.3809957206249237,12,10.33028507232666,10.33028507232666,116.74646759033205,4.518051624298097,34.4205322265625,1948.1199951171875,0.0
4404.36962890625,Ethiopia,4222.986328125,1620.6239013671875,2487,5.0,4,0,1428.0,6.97003698348999,14,6.687763214111327,6.687763214111327,107.59502410888672,2.367393970489502,28.70515060424805,1948.1199951171875,0.0
2850.46533203125,Ethiopia,4232.986328125,1620.6239013671875,2479,5.0,5,0,1416.0,1.6160230636596682,10,6.741198539733888,6.741198539733888,98.60853576660156,4.770466327667236,25.75263977050781,1948.1199951171875,1.0
