Pop,Country,X,Y,GHI,WindVel,TravelHours,NightLights,Elevation,Slope,LandCover,GridDistCurrent,GridDistPlan,SubstationDist,RoadDist,HydropowerDist,Hydropower,SolarRestriction
1658.31494140625,Uganda,3782.986328125,460.6239318847656,2409,0.0,12,0,1392.0,30.536849975585934,8,231.633544921875,171.43270874023438,274.39114379882807,7.146079063415527,37.76923370361328,707.7839965820312,0.0
1082.087646484375,Uganda,3772.986328125,450.6239318847656,2444,0.0,8,0,1340.0,15.760473251342773,10,218.03775024414062,171.1085662841797,263.17831420898443,2.9156296253204346,49.513465881347656,707.7839965820312,0.0
436.8355407714844,Uganda,3782.986328125,450.6239318847656,2373,0.0,16,0,1208.0,10.06698513031006,14,226.78207397460938,164.05555725097656,264.50149536132807,12.897486686706545,39.996971130371094,707.7839965820312,0.0
497.9789733886719,Uganda,3792.986328125,450.6239318847656,2321,0.0,18,0,1125.0,16.013845443725586,14,231.2733917236328,157.3223114013672,266.19400024414057,9.28138828277588,30.78850746154785,707.7839965820312,0.0
253.7556915283203,Uganda,3762.986328125,440.6239318847656,2391,0.0,8,0,1090.0,0.8713161945343018,10,204.44195556640625,171.9508819580078,252.2600860595703,3.718809366226196,62.26276016235352,707.7839965820312,0.0
375.7369995117188,Uganda,3772.986328125,440.6239318847656,2426,0.0,10,0,1171.0,1.236652374267578,12,213.186279296875,164.32647705078125,253.2456512451172,5.476208686828613,53.14908981323242,707.7839965820312,0.0
567.9561157226562,Uganda,3782.986328125,440.6239318847656,2444,0.0,16,0,1323.0,2.0069231986999507,10,218.6886749267578,156.96902465820312,254.62045288085938,15.041226387023926,44.4184684753418,707.7839965820312,0.0
558.9866333007811,Uganda,3792.986328125,440.6239318847656,2373,0.0,24,0,1250.0,6.370841503143311,14,221.82257080078125,149.9178466796875,256.37820434570307,18.274356842041016,36.34796905517578,707.7839965820312,0.0
463.549560546875,Uganda,3752.986328125,430.6239318847656,2382,0.0,7,0,1090.0,1.4095393419265747,10,190.84616088867188,173.94273376464844,241.6763916015625,4.66190242767334,65.81475067138672,477.0400085449219,0.0
293.3617248535156,Uganda,3762.986328125,430.6239318847656,2391,0.0,11,0,1099.0,1.904305100440979,10,199.59048461914062,165.80760192871094,242.2925720214844,10.55430793762207,66.70752716064453,707.7839965820312,0.0
320.0779724121094,Uganda,3772.986328125,430.6239318847656,2409,0.0,13,0,1148.0,1.7422295808792114,14,206.19509887695312,157.88681030273438,243.31851196289062,13.219162940979006,58.29295349121094,707.7839965820312,0.0
1797.6966552734375,Uganda,3782.986328125,430.6239318847656,2435,0.0,17,0,1259.0,1.352994441986084,7,209.1473693847656,150.2142791748047,244.74908447265625,19.414400100708008,50.46031188964844,707.7839965820312,0.0
1626.779541015625,Uganda,3792.986328125,430.6239318847656,2435,6.0,16,0,1485.0,17.403602600097653,8,212.42202758789062,142.83001708984375,246.57720947265625,22.5191650390625,43.52490615844727,707.7839965820312,0.0
5532.24169921875,Uganda,3542.986328125,420.6239318847656,2312,0.0,6,0,1058.0,32.432167053222656,8,2.3638176918029785,2.362316846847534,268.33282470703125,13.735533714294435,26.562358856201172,195.0800018310547,1.0
361.333740234375,Uganda,3662.986328125,420.6239318847656,2365,0.0,10,0,2208.0,29.61318206787109,8,107.29574584960938,107.29428100585938,244.93698120117188,8.168061256408691,50.60797119140625,130.61399841308594,1.0
6525.51220703125,Uganda,3672.986328125,420.6239318847656,2338,0.0,2,0,1142.0,1.3734567165374756,9,116.04007720947266,116.03861236572266,241.8518829345703,2.0453591346740723,49.96413040161133,130.61399841308594,1.0
1089.5052490234377,Uganda,3682.986328125,420.6239318847656,2347,0.0,6,0,1103.0,0.3809957206249237,9,124.7844009399414,124.78294372558594,239.14544677734372,7.518589496612549,51.29972457885742,130.61399841308594,1.0
688.122802734375,Uganda,3742.986328125,420.6239318847656,2347,0.0,5,0,1151.0,1.1231516599655151,10,177.2503662109375,177.04530334472656,231.4731292724609,2.304707765579224,52.9204330444336,477.0400085449219,0.0
1233.541748046875,Uganda,3752.986328125,420.6239318847656,2356,0.0,7,0,1149.0,1.9648190736770632,9,185.99468994140625,168.46697998046875,231.68516540527344,6.828113555908202,56.777687072753906,477.0400085449219,0.0
991.0877685546876,Uganda,3762.986328125,420.6239318847656,2382,6.0,5,0,1352.0,4.103277683258057,9,193.70152282714844,160.05377197265625,232.32785034179688,1.874244809150696,62.02289581298828,477.0400085449219,0.0
5432.05908203125,Uganda,3772.986328125,420.6239318847656,2426,0.0,8,0,2008.0,29.229751586914066,9,196.6350555419922,151.83311462402344,233.3975982666016,7.263213634490968,64.58568572998047,707.7839965820312,0.0
4911.02392578125,Uganda,3782.986328125,420.6239318847656,2487,0.0,8,0,1962.0,18.679176330566406,14,199.6509094238281,143.83802795410156,234.8885955810547,15.02978801727295,57.6149787902832,707.7839965820312,0.0
8881.482421875,Uganda,3792.986328125,420.6239318847656,2435,6.0,8,0,1724.0,8.827194213867188,14,203.07876586914062,136.1082763671875,236.79286193847656,16.97336769104004,50.1326904296875,2236.969970703125,0.0
177.72821044921875,Uganda,3462.986328125,410.6239318847656,2312,0.0,15,0,947.0,1.061856389045715,8,76.96723175048828,72.45311737060547,255.22740173339844,15.168088912963867,26.65522384643555,169.8209991455078,1.0
288.5924987792969,Uganda,3472.986328125,410.6239318847656,2321,0.0,12,0,955.0,2.16714859008789,8,67.11740875244139,63.70704650878906,254.26837158203125,12.217157363891602,19.67399406433105,169.8209991455078,1.0
